,Facility Type,mean site_eui,standard deviation site_eui,max site_eui,min site_eui
0,Data_Center,339.735,245.513,829.627,21.74
1,Laboratory,335.133,162.34,782.72,61.819
2,Health_Care_Inpatient,249.286,141.281,887.938,23.934
3,Grocery_store_or_food_market,241.943,81.25,690.555,18.677
4,Food_Service_Restaurant_or_cafeteria,195.594,113.365,455.349,18.449
5,Health_Care_Outpatient_Uncategorized,189.892,128.033,455.523,14.489
6,Health_Care_Uncategorized,183.945,191.481,997.866,2.032
7,Public_Safety_Penitentiary,170.666,101.114,408.851,16.473
8,Public_Assembly_Stadium,157.042,62.107,275.778,80.993
9,Food_Sales,141.452,109.319,855.188,1.362
10,Service_Vehicle_service_repair_shop,140.553,126.039,724.415,1.176
11,Public_Safety_Fire_or_police_station,131.735,56.789,395.816,27.055
12,Nursing_Home,131.165,67.226,661.376,11.657
13,Food_Service_Uncategorized,128.801,61.991,229.662,53.989
14,Public_Assembly_Other,127.174,85.358,648.124,10.28
15,Industrial,124.9,175.885,944.896,1.19
16,Public_Assembly_Entertainment_culture,124.875,85.577,360.193,3.5
17,Service_Uncategorized,119.45,64.287,240.481,17.785
18,Lodging_Other,118.9,70.278,359.814,1.71
19,Commercial_Unknown,118.669,91.985,388.857,11.967
20,Office_Medical_non_diagnostic,116.964,93.284,859.388,16.056
21,Retail_Strip_shopping_mall,109.858,126.862,854.661,1.683
22,Education_College_or_university,109.419,92.332,989.888,1.795
23,Public_Assembly_Library,105.569,64.361,547.661,1.995
24,Lodging_Hotel,105.539,52.619,935.389,5.814
25,Public_Assembly_Recreation,103.825,60.711,317.666,21.142
26,Health_Care_Outpatient_Clinic,103.613,64.349,366.795,9.35
27,Public_Safety_Courthouse,103.182,47.652,233.265,40.689
28,Public_Assembly_Movie_Theater,103.095,35.372,195.322,38.132
29,Retail_Enclosed_mall,101.166,73.933,265.868,3.865
30,Warehouse_Refrigerated,96.284,109.67,813.29,9.486
31,Office_Bank_or_other_financial,90.96,58.121,362.876,21.126
32,Commercial_Other,90.54,94.95,948.759,1.197
33,Mixed_Use_Commercial_and_Residential,89.852,90.073,903.668,1.379
34,Public_Safety_Uncategorized,84.757,30.932,139.783,9.098
35,Multifamily_Uncategorized,83.831,38.379,993.428,1.003
36,Education_Uncategorized,83.59,45.876,207.631,10.11
37,Office_Mixed_use,82.11,24.562,123.009,32.557
38,Lodging_Dormitory_or_fraternity_sorority,82.071,43.119,351.417,1.097
39,Mixed_Use_Predominantly_Residential,81.798,19.564,109.192,41.673
40,Public_Assembly_Drama_theater,80.917,54.368,233.698,6.214
41,Retail_Uncategorized,80.16,62.348,593.687,2.251
42,Office_Uncategorized,77.041,48.243,970.389,1.003
43,Public_Assembly_Social_meeting,76.102,54.957,194.966,1.097
44,Education_Other_classroom,69.472,34.269,819.081,2.351
45,Parking_Garage,68.229,149.893,975.452,1.199
46,Lodging_Uncategorized,66.595,20.87,89.226,42.029
47,Mixed_Use_Predominantly_Commercial,65.184,71.384,370.286,2.792
48,Public_Assembly_Uncategorized,62.873,52.589,188.454,2.393
49,Education_Preschool_or_daycare,60.974,29.276,203.044,6.083
50,Retail_Vehicle_dealership_showroom,47.007,34.014,187.1,1.4
51,Religious_worship,43.862,31.148,178.147,2.252
52,Service_Drycleaning_or_Laundry,42.113,7.271,54.539,32.209
53,Warehouse_Distribution_or_Shipping_center,39.599,33.305,233.515,1.31
54,Warehouse_Nonrefrigerated,38.124,48.864,695.993,1.001
55,5plus_Unit_Building,36.719,17.057,159.722,10.314
56,Warehouse_Uncategorized,35.936,28.729,199.781,2.712
57,2to4_Unit_Building,31.878,15.389,149.489,5.079
58,Food_Service_Other,29.237,8.864,51.548,16.2
59,Warehouse_Selfstorage,21.678,16.529,114.301,1.176
